class,image_idx,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,scale_10,scale_11,scale_12,scale_13,scale_14,scale_15,scale_16,scale_17,scale_18,scale_19,scale_20
brown_bread,3,0,0.0149044,0.0262675,0.0207745,0.0237375,0.0193441,0.023154,0.0200779,0.0200004,0.017194,0.0195552,0.0130535,0.015326,0.0125331,0.0121531,0.0121745,0.0144407,0.0111123,0.0141164,0.0099749
brown_bread,4,0,0.0231695,0.0389886,0.0354059,0.0383277,0.0318106,0.0336265,0.0282428,0.0288119,0.0266531,0.0271969,0.0236491,0.0213983,0.0174309,0.0167706,0.0157374,0.0124303,0.0151674,0.0139093,0.0162885
brown_bread,5,0,0.0246931,0.0403397,0.0365536,0.0384794,0.0335574,0.034922,0.0306037,0.0331063,0.0270538,0.0255093,0.021435,0.0226241,0.0204428,0.0163908,0.0178312,0.017089,0.0117637,0.0127535,0.0102731
brown_bread,6,0,0.0121414,0.0209041,0.0183224,0.0209493,0.0187266,0.0192216,0.0165018,0.0194021,0.0161265,0.0169099,0.0149643,0.0150773,0.0152353,0.0158342,0.012386,0.0129096,0.0110445,0.0146243,0.0107363
brown_bread,7,0,0.0125836,0.0195651,0.0174553,0.0183538,0.0157785,0.016437,0.014456,0.014191,0.0136037,0.0163092,0.0125747,0.0127328,0.0130386,0.0122698,0.0110287,0.0108955,0.00860903,0.0115163,0.0108072
brown_bread,8,0,0.0197427,0.0347873,0.0307403,0.0342977,0.0312585,0.031799,0.0274049,0.0280859,0.0239997,0.0237308,0.021206,0.0247237,0.0165878,0.0188504,0.0198692,0.0178638,0.0131847,0.0157542,0.0149548
brown_bread,9,0,0.0182086,0.0273265,0.0237848,0.0248395,0.0226087,0.0246877,0.0235489,0.021197,0.0175256,0.0156101,0.0158403,0.0169947,0.0159555,0.01565,0.012644,0.0115406,0.0120475,0.012887,0.0143564
styrofoam,0,0,0.0267403,0.0386415,0.0258019,0.0184725,0.0128342,0.0129332,0.00992081,0.00903373,0.0089114,0.00822877,0.00720265,0.00828306,0.00629156,0.00622944,0.00566948,0.00398753,0.00405714,0.00519357,0.00317057
styrofoam,1,0,0.0290999,0.0447883,0.0333945,0.0243249,0.0165861,0.0170992,0.0140525,0.0119233,0.00992789,0.00968962,0.00817526,0.00898425,0.00724845,0.0092855,0.00653381,0.00790578,0.00427399,0.00595572,0.00406824
styrofoam,2,0,0.0483744,0.0857886,0.0571163,0.037974,0.0281275,0.024233,0.0212101,0.0173759,0.0150257,0.0139486,0.0121074,0.0108903,0.00973373,0.0130174,0.00965049,0.00894995,0.0100867,0.00433907,0.00648337
styrofoam,3,0,0.0322585,0.0426944,0.0277858,0.020853,0.016115,0.0162063,0.0121972,0.0129542,0.0091057,0.00992485,0.00795466,0.00925974,0.00789845,0.00767016,0.00566619,0.00737626,0.00435113,0.00808434,0.00310321
styrofoam,4,0,0.0484617,0.0644033,0.0405647,0.0304738,0.0230711,0.0249181,0.0194719,0.0160376,0.0128053,0.0160414,0.0104167,0.0130409,0.00869811,0.0116869,0.00549396,0.00826513,0.00606236,0.00855965,0.00421019
styrofoam,5,0,0.0691822,0.0993456,0.0600061,0.040384,0.0312335,0.0309533,0.0219533,0.0206444,0.0173499,0.0157765,0.0128151,0.0144854,0.0126465,0.0142602,0.00943026,0.0118898,0.00656497,0.00862258,0.00446781
styrofoam,6,0,0.0310304,0.0466954,0.0300669,0.0209638,0.01451,0.0124078,0.0107273,0.0100968,0.0071847,0.00891823,0.00725448,0.00692508,0.00497989,0.00632488,0.00481438,0.00529162,0.00429856,0.00384783,0.00336735
styrofoam,7,0,0.0256541,0.0406305,0.0288779,0.0199056,0.0140735,0.013391,0.0106927,0.0102869,0.00804007,0.00753298,0.00579684,0.00727167,0.00497434,0.00617116,0.00458276,0.00580414,0.00424719,0.00486306,0.0035613
styrofoam,8,0,0.0520145,0.089298,0.0582243,0.0362448,0.0291896,0.0253919,0.0199426,0.0166009,0.0139918,0.0137248,0.0138166,0.0126869,0.0103423,0.00832807,0.00637666,0.00680444,0.00568683,0.00687028,0.00754914
styrofoam,9,0,0.0400919,0.0475455,0.0239291,0.0181288,0.0153454,0.0143077,0.0108963,0.0099721,0.00846013,0.00916239,0.00783826,0.00898356,0.00494732,0.00666058,0.00506195,0.00537932,0.0047431,0.00493132,0.00403918
